"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=cerapoda"
"Access Time","Fri 2017-02-03 21:14:25 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","cerapoda"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.154"
"Records Found","3991"
"Records Returned","3991"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"130209","occ","","","10755","n. gen. Chaoyangosaurus n. sp. liaosiensis","species","65704","replaced by","Chaoyangsaurus youngi","species","55580","Late Tithonian","Valanginian","150.8","132.9","13360"
"139249","occ","","","11892","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","16964"
"139251","occ","","","11894","Centrosaurus apertus","species","63911","","Centrosaurus apertus","species","63911","Late Campanian","","83.5","70.6","16964"
"139294","occ","32334","","11919","Gryposaurus cf. notabilis","species","63251","","Gryposaurus notabilis","species","63251","Late Campanian","","83.5","70.6","59147"
"147092","occ","","","12977","n. gen. Stenotholus n. sp. kohleri","species","53215","subjective synonym of","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","4306"
"147093","occ","","","12977","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Maastrichtian","","72.1","66","4306"
"149611","occ","31720","","13218","Hadrosauroidea indet.","superfamily","184951","","Hadrosauroidea","superfamily","52811","Late Maastrichtian","","70.6","66","56054"
"149854","occ","","","13267","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Late Barremian","Early Aptian","130","122.46","4397"
"149860","occ","","","13268","Hypsilophodon sp.","genus","38736","","Hypsilophodon","genus","38736","Late Barremian","Early Aptian","130","122.46","4398"
"149983","occ","10063","","13281","Orodromeus makelai","species","64338","","Orodromeus makelai","species","64338","Campanian","","83.6","72.1","7404"
"149984","occ","","","13282","Maiasaura peeblesorum","species","55574","","Maiasaura peeblesorum","species","55574","Campanian","","83.6","72.1","4406"
