"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=theropoda"
"Access Time","Fri 2017-02-03 21:08:57 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","theropoda"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.577"
"Records Found","11703"
"Records Returned","11703"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"41524","occ","","","3257","Aves indet.","class","36616","","Aves","class","36616","Early Eocene","Middle Eocene","55.8","37.2","149"
"41580","occ","","","3256","Aves indet.","class","36616","","Aves","class","36616","Early Eocene","Middle Eocene","55.8","37.2","149"
"130294","occ","","","10764","n. gen. Protarchaeopteryx n. sp. robusta","species","66068","","Protarchaeopteryx robusta","species","66068","Late Barremian","Early Aptian","130","122.46","4006"
"130295","occ","","","10764","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","Late Barremian","Early Aptian","130","122.46","19421"
"137486","occ","","","11582","Theropoda indet.","unranked clade","94209","","Theropoda","unranked clade","38513","Campanian","Maastrichtian","83.6","66","59136"
"139242","occ","24752","","11890","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","13165"
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139254","occ","13634","","11897","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","17547"
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Maastrichtian","","72.1","66","9259"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","4205"
"139257","occ","","","11900","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","12347"
"139258","occ","18014","","11901","n. gen. Albertosaurus n. sp. sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","9259"
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","4205"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","Late Campanian","","83.5","70.6","4205"
"139262","occ","","","11904","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","Late Campanian","","83.5","70.6","4205"
"139290","occ","23303","","11915","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","Middle Campanian","","83.5","70.6","4205"
"139291","occ","30120","","11916","Albertosaurus sp.","genus","38607","","Albertosaurus","genus","38607","Early Maastrichtian","","70.6","66","51906"
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","4218"
"139293","occ","","","11918","cf. Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","4205"
"139295","occ","25241","","11920","Theropoda indet.","unranked clade","91970","","Theropoda","unranked clade","38513","Hettangian","Sinemurian","201.3","190.8","36780"
"144305","occ","","","10760","Dromaeosauridae indet.","family","38561","","Dromaeosauridae","family","38561","Late Maastrichtian","","70.6","66","4002"
"144307","occ","22890","","12584","Bistahieversor sealeyi","species","163808","","Bistahieversor sealeyi","species","163808","Late Campanian","","83.5","70.6","32137"
"144308","occ","","","12585","Theropoda indet.","unranked clade","38513","","Theropoda","unranked clade","38513","Puaroan","","148.5","145","4249"
"146081","occ","","","12855","Coelurosauria indet.","suborder","53940","","Coelurosauria","suborder","53940","Maastrichtian","","72.1","66","19317"
"148510","occ","21292","","13106","Gaviiformes indet.","order","39706","","Gaviiformes","order","39706","Late Maastrichtian","","70.6","66","29037"
"148628","occ","","","13108","Mononykus olecranus","species","67288","","Mononykus olecranus","species","67287","Maastrichtian","","72.1","66","4373"
"148629","occ","","","13108","Tarbosaurus bataar","species","57254","","Tarbosaurus bataar","species","63705","Maastrichtian","","72.1","66","4373"
"149328","occ","","","13142","Coeluridae ? indet.","family","53001","","Coeluridae","family","53001","Maastrichtian","","72.1","66","4381"
"149586","occ","11815","","13210","Carnosauria indet.","unranked clade","53943","","Carnosauria","unranked clade","53943","Maastrichtian","Early Maastrichtian","72.1","66","55175"
"149592","occ","","","13212","n. gen. Creosaurus n. sp. atrox","species","52970","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","7813"
"149596","occ","","","13214","Creosaurus atrox","species","52970","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387"
"149597","occ","","","13214","Allosaurus fragilis","species","52962","","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387"
"149601","occ","","","13214","Antrodemus valens","species","64031","subjective synonym of","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","4387"
"149834","occ","","","13263","Theropoda indet.","unranked clade","38513","","Theropoda","unranked clade","38513","Rhaetian","Hettangian","208.5","199.3","4395"
"149835","occ","","","13264","Ornimegalonyx oteroi","species","290147","","Ornimegalonyx oteroi","species","290147","Pleistocene","","2.588","0.0117","4396"
"149859","occ","19729","","13268","Theropoda indet.","unranked clade","38513","","Theropoda","unranked clade","38513","Late Barremian","Early Aptian","130","122.46","14199"
"150093","occ","","","18597","Phalacrocorax n. sp. subvolans","species","53350","recombined as","Anhinga subvolans","species","53350","Hemingfordian","","20.43","15.97","4414"
"150094","occ","","","18597","Proictinia n. sp. floridana","species","53301","recombined as","Promilio floridanus","species","53301","Hemingfordian","","20.43","15.97","4414"
"150133","occ","","","13296","Buteo n. sp. fluviaticus","species","100015","","Buteo fluviaticus","species","100015","Orellan","","33.9","33.3","4415"
"150134","occ","","","13297","n. gen. Hadrogyps n. sp. aigialeus","species","53351","","Hadrogyps aigialeus","species","53351","Langhian","","15.97","13.82","4416"
"150135","occ","","","13298","n. gen. Primapus n. sp. lacki","species","53337","","Primapus lacki","species","53337","Ypresian","","56","47.8","4417"
"150136","occ","","","13299","Primapus lacki","species","53337","","Primapus lacki","species","53337","Ypresian","","56","47.8","4417"
"150137","occ","","","13300","Praemancalla n. sp. wetmorei","species","145757","recombined as","Miomancalla wetmorei","species","145757","Messinian","Zanclean","7.246","3.6","4418"
"150138","occ","","","13301","Ichthyornis cf. dispar","species","54877","","Ichthyornis dispar","species","54877","Early Coniacian","Early Campanian","89.3","70.6","4419"
"150139","occ","","","13301","Hesperornis sp.","genus","36620","","Hesperornis","genus","36620","Early Coniacian","Early Campanian","89.3","70.6","4419"
"150155","occ","","","13309","n. gen. Neogaeornis n. sp. wetzeli","species","53321","","Neogaeornis wetzeli","species","53321","Late Maastrichtian","","70.6","66","6052"
"150156","occ","","","13312","n. gen. Alexornis n. sp. antecedens","species","53319","","Alexornis antecedens","species","53319","Santonian","","86.3","83.6","4423"
"150157","occ","","","13306","n. gen. Yacoraitichnus n. sp. avis","species","58867","","Yacoraitichnus avis","species","58867","Maastrichtian","","72.1","66","6049"
"150158","occ","","IF","13308","n. gen. Patagonichnornis n. sp. venetiorum","species","53322","","Patagonichnornis venetiorum","species","53322","Late Maastrichtian","","70.6","66","6051"
"150159","occ","","","13313","Dromaius n. sp. gidju","species","53358","recombined as","Emuarius gidju","species","53358","Late Oligocene","Early Miocene","28.4","15.97","4424"
"150160","occ","","","13314","Dromaius sp.","genus","173845","","Dromaius","genus","173845","Middle Miocene","","15.97","11.608","4424"
"150161","occ","","","13315","Dromaius sp.","genus","173845","","Dromaius","genus","173845","Late Miocene","","11.608","5.333","4424"
"150162","occ","","","13316","Dromaius ocypus","species","53357","","Dromaius ocypus","species","53357","Pliocene","","5.333","2.588","4424"
"150163","occ","","","13317","Dromaius novaehollandiae","species","53353","","Dromaius novaehollandiae","species","164088","Late Pliocene","Early Pleistocene","3.6","0.781","4424"
"150164","occ","","","13317","Dromaius sp.","genus","173845","","Dromaius","genus","173845","Late Pliocene","Early Pleistocene","3.6","0.781","4424"
"150165","occ","","","13316","Dromaius cf. ocypus","species","53357","","Dromaius ocypus","species","53357","Pliocene","","5.333","2.588","4424"
"150166","occ","","","13318","Dromaius novaehollandiae","species","53353","","Dromaius novaehollandiae","species","164088","Early Pliocene","Middle Pleistocene","5.333","0.126","4424"
"150167","occ","","","13319","Dromaius sp.","genus","173845","","Dromaius","genus","173845","Pliocene","Quaternary","5.333","0","4424"
"150168","occ","","","13320","Lithornis vulturinus","species","246687","","Lithornis vulturinus","species","246687","Early Eocene","","55.8","48.6","4416"
"150169","occ","","","13321","Paracathartes howardae","species","246699","","Paracathartes howardae","species","246699","Early Eocene","","55.8","48.6","4416"
"150170","occ","","","13322","Eocathartes robustus","species","53325","","Eocathartes robustus","species","53325","Lutetian","","47.8","41.3","4416"
"150171","occ","","","13323","Neocathartes grallator","species","349768","","Neocathartes grallator","species","349768","Late Eocene","","37.2","33.9","4416"
"150172","occ","","","13324","Diatropornis ellioti","species","53328","species not entered","Diatropornis","genus","53328","Late Eocene","Early Oligocene","37.2","28.4","4416"
"150173","occ","","","13325","Plesiocathartes europaeus","species","39650","species not entered","Plesiocathartes","genus","39650","Late Eocene","Early Oligocene","37.2","28.4","4416"
"150244","occ","","","13335","n. gen. Palaeocursornis n. sp. biharicus","species","134979","nomen dubium","Aves","class","36616","Berriasian","","145","139.8","4007"
"150246","occ","23550","","13335","Theropoda indet.","unranked clade","91970","","Theropoda","unranked clade","38513","Berriasian","","145","139.8","4007"
"150313","occ","","I","13343","n. gen. Hispanosauropus n. sp. hauboldi","species","68178","","Hispanosauropus hauboldi","species","68178","Kimmeridgian","","157.3","152.1","5982"
"150314","occ","","I","13342","Hispanosauropus hauboldi","species","68178","","Hispanosauropus hauboldi","species","68178","Kimmeridgian","","157.3","152.1","5982"
"150324","occ","18464","F","13347","Macroolithus ? sp.","genus","67183","","Macroolithus","genus","67183","Early Maastrichtian","","70.6","66","14217"
"150326","occ","17810","F","13349","Macroolithus rugustus","species","67192","","Macroolithus rugustus","species","67191","Maastrichtian","","72.1","66","17027"
"150847","occ","","","13305","n. gen. Patagopteryx n. sp. deferrariisi","species","68529","","Patagopteryx deferrariisi","species","68529","Santonian","","86.3","83.6","6047"
"150848","occ","30121","","13305","n. gen. Neuquenornis n. sp. volans","species","100989","","Neuquenornis volans","species","100989","Santonian","","86.3","83.6","6046"
"150849","occ","","","13409","Megalosaurus n. sp. wetherilli","species","55479","recombined as","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.3","182.7","13844"
"150850","occ","","","13410","Megalosaurus wetherilli","species","55479","recombined as","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.3","182.7","13844"
"150853","occ","","","13411","Ornithomimidae indet.","family","38539","","Ornithomimidae","family","38539","Cenomanian","Santonian","100.5","83.6","6048"
"150854","occ","","","13411","Theropoda indet.","unranked clade","38513","","Theropoda","unranked clade","38513","Cenomanian","Santonian","100.5","83.6","6048"
"154631","occ","","","13738","Aves indet.","class","36616","","Aves","class","36616","Holocene","","0.0117","0","6145"
"154986","occ","","","13776","n. gen. Gobipteryx n. sp. minuta","species","57334","","Gobipteryx minuta","species","57334","Campanian","","83.6","72.1","9759"
"212043","occ","","","21294","Aves indet.","class","36616","","Aves","class","36616","Calabrian","","1.806","0.781","4454"
"212060","occ","","","21300","Aves indet.","class","36616","","Aves","class","36616","Gelasian","","2.588","1.806","4454"
"212166","occ","","","21332","Aves indet.","class","36616","","Aves","class","36616","Messinian","Piacenzian","7.246","2.588","4648"
"213455","occ","","","21802","Numida sp.","genus","99148","","Numida","genus","99148","Piacenzian","","3.6","2.588","4451"
"213553","occ","","","21855","Accipitridae indet.","family","39323","","Accipitridae","family","39323","Early Miocene","Middle Miocene","23.03","11.608","4922"
"213563","occ","","","21855","Struthionidae indet.","family","39276","","Struthionidae","family","39276","Early Miocene","Middle Miocene","23.03","11.608","4922"
"213564","occ","","","21855","Phasianidae indet.","family","39340","","Phasianidae","family","39340","Early Miocene","Middle Miocene","23.03","11.608","4922"
"213633","occ","","","21857","Aves indet.","class","36616","","Aves","class","36616","Pleistocene","Holocene","2.588","0","5212"
"213652","occ","","","21858","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5213"
"213681","occ","","","21861","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5214"
"213690","occ","","","21862","Columbidae indet.","family","39353","","Columbidae","family","39353","Holocene","","0.0117","0","5216"
"213724","occ","","","21878","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5222"
"213749","occ","","","21886","Anas acuta","species","83435","","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5209"
"213750","occ","","","21886","Ardea cinerea","species","83488","","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5209"
"213751","occ","","","21886","Anas crecca","species","133772","","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5209"
"213766","occ","","","21888","Anas acuta","species","83435","","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5224"
"213769","occ","","","21888","Phalacrocorax carbo","species","336370","","Phalacrocorax carbo","species","336369","Pleistocene","","2.588","0.0117","5224"
"213770","occ","","","21888","Ardea cinerea","species","83488","","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5224"
"213771","occ","","","21888","Phoenicopterus antiquorum","species","39594","species not entered","Phoenicopterus","genus","39594","Pleistocene","","2.588","0.0117","5224"
"213773","occ","","","21888","Anser albifrons","species","335665","","Anser albifrons","species","335665","Pleistocene","","2.588","0.0117","5224"
"213774","occ","","","21888","Anser fabalis","species","83424","species not entered","Anser","genus","83424","Pleistocene","","2.588","0.0117","5224"
"213775","occ","","","21888","Branta bernicla","species","83428","","Branta bernicla","species","83427","Pleistocene","","2.588","0.0117","5224"
"213776","occ","","","21888","Tadorna ferruginea","species","39631","species not entered","Tadorna","genus","39631","Pleistocene","","2.588","0.0117","5224"
"213777","occ","","","21888","Anas platyrhynchos","species","83434","","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5224"
"213778","occ","","","21888","Anas penelope","species","67686","species not entered","Anas","genus","67686","Pleistocene","","2.588","0.0117","5224"
"213779","occ","","","21888","Aythya ferina","species","83440","species not entered","Aythya","genus","83440","Pleistocene","","2.588","0.0117","5224"
"213780","occ","","","21888","Mergus merganser","species","336064","","Mergus merganser","species","336064","Pleistocene","","2.588","0.0117","5224"
"213781","occ","","","21888","Mergus serrator","species","83462","","Mergus serrator","species","83462","Pleistocene","","2.588","0.0117","5224"
"213782","occ","","","21888","Mergus albellus","species","39627","species not entered","Mergus","genus","39627","Pleistocene","","2.588","0.0117","5224"
"213783","occ","","","21888","Milvus migrans","species","191573","species not entered","Milvus","genus","191573","Pleistocene","","2.588","0.0117","5224"
"213784","occ","","","21888","Pandion haliaetus","species","39329","species not entered","Pandion","genus","39329","Pleistocene","","2.588","0.0117","5224"
"213785","occ","","","21888","Numenius arquatus","species","83476","species not entered","Numenius","genus","83476","Pleistocene","","2.588","0.0117","5224"
"213786","occ","","","21888","Numenius arquata","species","83476","species not entered","Numenius","genus","83476","Pleistocene","","2.588","0.0117","5224"
"213787","occ","","","21888","Anas crecca","species","133772","","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5224"
"213795","occ","","","21890","Aquila chrysaetos","species","94489","","Aquila chrysaetos","species","94489","Pleistocene","","2.588","0.0117","5209"
"213817","occ","","","21892","Anas platyrhynchos","species","83434","","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5224"
"213818","occ","","","21892","Grus grus","species","105610","","Grus grus","species","105609","Pleistocene","","2.588","0.0117","5224"
"213870","occ","","","21896","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5227"
"213918","occ","","","21903","Streptopelia sp.","genus","158293","","Streptopelia","genus","158293","Holocene","","0.0117","0","5230"
"213952","occ","","","21907","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5221"
"213992","occ","","","21914","Struthio camelus","species","223891","","Struthio camelus","species","223891","Holocene","","0.0117","0","5213"
"214038","occ","","","21920","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","","2.588","0.0117","5213"
"214097","occ","","","21930","Aves indet.","class","36616","","Aves","class","36616","Holocene","","0.0117","0","5240"
"214199","occ","","","21953","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","","2.588","0.0117","5252"
"214202","occ","","","21953","Francolinus sp.","genus","173506","","Francolinus","genus","173506","Pleistocene","","2.588","0.0117","5252"
"214277","occ","","","21970","Aves indet.","class","36616","","Aves","class","36616","Calabrian","","1.806","0.781","5269"
"214317","occ","","","21973","cf. Struthio sp.","genus","39278","","Struthio","genus","39278","Gelasian","Calabrian","2.588","0.781","4954"
"214330","occ","","","21974","Aves indet.","class","36616","","Aves","class","36616","Pleistocene","","2.588","0.0117","4945"
"216772","occ","","","22041","Struthio sp.","genus","39278","","Struthio","genus","39278","Calabrian","","1.806","0.781","4478"
"216773","occ","","","22041","Aves indet.","class","36616","","Aves","class","36616","Calabrian","","1.806","0.781","4478"
"216823","occ","","","22064","Struthio sp.","genus","39278","","Struthio","genus","39278","Calabrian","","1.806","0.781","4478"
"216824","occ","","","22064","Aves indet.","class","36616","","Aves","class","36616","Calabrian","","1.806","0.781","4478"
"216842","occ","","","22066","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5321"
"216845","occ","","","22068","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5320"
"216894","occ","","","22073","Francolinus lathami","species","173506","species not entered","Francolinus","genus","173506","Holocene","","0.0117","0","5324"
"216898","occ","","","22074","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5325"
"216899","occ","","","22074","Francolinus sp.","genus","173506","","Francolinus","genus","173506","Pleistocene","Holocene","2.588","0","5325"
"216900","occ","","","22074","Aves indet.","class","36616","","Aves","class","36616","Pleistocene","Holocene","2.588","0","5325"
"216903","occ","","","22074","Caprimulgus sp.","genus","124206","","Caprimulgus","genus","124206","Pleistocene","Holocene","2.588","0","5325"
"216904","occ","","","22074","Columba sp.","genus","39354","","Columba","genus","39354","Pleistocene","Holocene","2.588","0","5325"
"216905","occ","","","22074","Columbidae indet.","family","39353","","Columbidae","family","39353","Pleistocene","Holocene","2.588","0","5325"
"217223","occ","","","22148","Aves indet.","class","36616","","Aves","class","36616","Miocene","Pliocene","23.03","2.588","5283"
"217477","occ","","","22188","Struthio camelus","species","223891","","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5283"
"217575","occ","","","22219","Pelecaniformes indet.","order","36634","","Pelecaniformes","order","36634","Late Miocene","","11.608","5.333","5419"
"217578","occ","","","22219","Dege hendeyi","species","106250","","Dege hendeyi","species","106250","Late Miocene","","11.608","5.333","5419"
"217596","occ","","","22220","cf. Struthio sp.","genus","39278","","Struthio","genus","39278","Miocene","Pliocene","23.03","2.588","5438"
"217620","occ","","","22221","Struthio sp.","genus","39278","","Struthio","genus","39278","Zanclean","","5.333","3.6","5391"
"217621","occ","","","22221","Accipitridae indet.","family","39323","","Accipitridae","family","39323","Zanclean","","5.333","3.6","5391"
"217624","occ","","","22221","Aves indet.","class","36616","","Aves","class","36616","Zanclean","","5.333","3.6","5391"
"217632","occ","","","22221","Phasianidae indet.","family","39340","","Phasianidae","family","39340","Zanclean","","5.333","3.6","5391"
"217637","occ","","","22221","Puffinus sp.","genus","39702","","Puffinus","genus","39702","Zanclean","","5.333","3.6","5391"
"217638","occ","","","22221","Anatidae indet.","family","39624","","Anatidae","family","39624","Zanclean","","5.333","3.6","5391"
"217640","occ","","","22221","Passeriformes indet.","order","39441","","Passeriformes","order","39441","Zanclean","","5.333","3.6","5391"
"217641","occ","","","22221","Gruidae indet.","family","39499","","Gruidae","family","39499","Zanclean","","5.333","3.6","5391"
"217643","occ","","","22221","Columbidae indet.","family","39353","","Columbidae","family","39353","Zanclean","","5.333","3.6","5391"
"217645","occ","","","22221","Inguza predemersus","species","106297","","Inguza predemersus","species","106296","Zanclean","","5.333","3.6","5391"
"217651","occ","","","22221","Ciconiidae indet.","family","39634","","Ciconiidae","family","39634","Zanclean","","5.333","3.6","5391"
"217660","occ","","","22221","Pachyptila salax","species","173505","","Pachyptila salax","species","173505","Zanclean","","5.333","3.6","5391"
"217661","occ","","","22221","Procellariiformes indet.","order","36628","","Procellariiformes","order","36628","Zanclean","","5.333","3.6","5391"
"217662","occ","","","22221","Rallidae indet.","family","39513","","Rallidae","family","39513","Zanclean","","5.333","3.6","5391"
"217670","occ","","","22221","Oceanites zaloscarthmus","species","336378","","Oceanites zaloscarthmus","species","336378","Zanclean","","5.333","3.6","5391"
"217673","occ","","","22221","Psittaciformes indet.","order","39357","","Psittaciformes","order","39357","Zanclean","","5.333","3.6","5391"
"217688","occ","","","22222","Aves indet.","class","36616","","Aves","class","36616","Zanclean","","5.333","3.6","5423"
"217694","occ","","","22222","Phasianidae indet.","family","39340","","Phasianidae","family","39340","Zanclean","","5.333","3.6","5423"
"217704","occ","","","22222","Inguza predemersus","species","106297","","Inguza predemersus","species","106296","Zanclean","","5.333","3.6","5423"
"217711","occ","","","22222","Pachyptila salax","species","173505","","Pachyptila salax","species","173505","Zanclean","","5.333","3.6","5423"
"217716","occ","","","22222","Oceanites zaloscarthmus","species","336378","","Oceanites zaloscarthmus","species","336378","Zanclean","","5.333","3.6","5423"
"217718","occ","","","22222","Struthio sp.","genus","39278","","Struthio","genus","39278","Zanclean","","5.333","3.6","5423"
"217719","occ","","","22222","Apodidae indet.","family","39423","","Apodidae","family","39423","Zanclean","","5.333","3.6","5423"
"217720","occ","","","22222","Pachyptila sp.","genus","39699","","Pachyptila","genus","39699","Zanclean","","5.333","3.6","5423"
